(HH:MM:SS),(s),(YYYY-MM-DDTHH:MM:SS) (UTC date time format),(YYYY-MM-DDTHH:MM:SS) (Local date time format),(L*min^-1),(L),(C),(C),(C),(hPa),(hPa),(Pa),(%),(g*L^-1),(integer),(integer),(V),(g*min^-1),(V),(integer),(decimalDegree),(decimalDegree),(m),(integer),(m*s^-1),(-)
SampleTime,UnixTime,DateTimeUTC,DateTimeLocal,VolumetricFlowRate,SampledVolume,PumpT,PCBT,FdpT,PumpP,PCBP,FdPdP,PumpRH,AtmoRho,PumpPow1,PumpPow2,PumpV,MassFlow,BFGvolt,BFGenergy,GPSlat,GPSlon,GPSalt,GPSsat,GPSspeed,GPShdop
0:30:15,1657222290,2022-07-07T19:31:30,2022-07-07T13:31:30,1.991,60.55,35.17,33.59,36.65,849.31,852.79,176.699997,22.84,0.9580,283,0,12.784,1.90908,4.12,53039,40.564721,-105.073043,1527.7,12,0.025700,0.7
0:30:45,1657222320,2022-07-07T19:32:00,2022-07-07T13:32:00,1.989,61.54,35.16,33.60,36.63,849.31,852.79,175.449997,22.76,0.9581,282,0,12.783,1.90429,4.12,53027,40.564711,-105.073050,1530.0,12,0.064764,0.8
0:31:15,1657222350,2022-07-07T19:32:30,2022-07-07T13:32:30,1.994,62.54,35.14,33.55,36.63,849.26,852.83,177.399994,23.05,0.9581,282,0,12.803,1.91203,4.11,53014,40.564729,-105.073050,1524.0,12,0.080184,0.8
0:31:45,1657222380,2022-07-07T19:33:00,2022-07-07T13:33:00,1.993,63.53,35.13,33.55,36.58,849.32,852.77,176.149994,23.03,0.9581,282,0,12.802,1.91092,4.11,53002,40.564744,-105.073047,1519.6,12,0.124388,0.9
0:32:15,1657222410,2022-07-07T19:33:30,2022-07-07T13:33:30,1.994,64.53,35.12,33.51,36.62,849.24,852.90,176.850006,23.31,0.9582,282,0,12.802,1.91425,4.11,52990,40.564730,-105.072995,1525.4,12,0.019532,0.9
0:32:45,1657222440,2022-07-07T19:34:00,2022-07-07T13:34:00,1.993,65.53,35.11,33.50,36.61,849.24,852.82,174.500000,23.23,0.9582,282,0,12.801,1.91203,4.11,52978,40.564743,-105.073003,1524.5,12,0.066820,0.8
0:33:15,1657222470,2022-07-07T19:34:30,2022-07-07T13:34:30,1.992,66.52,35.10,33.49,36.58,849.29,852.81,176.149994,23.13,0.9582,282,0,12.802,1.90539,4.11,52966,40.564748,-105.073008,1525.3,12,0.030326,0.8
0:33:45,1657222500,2022-07-07T19:35:00,2022-07-07T13:35:00,1.993,67.52,35.09,33.47,36.56,849.37,852.81,176.550003,23.32,0.9582,282,0,12.801,1.90687,4.11,52954,40.564747,-105.073013,1529.1,12,0.038550,0.8
0:34:15,1657222530,2022-07-07T19:35:30,2022-07-07T13:35:30,1.992,68.52,35.08,33.46,36.54,849.35,852.93,176.350006,23.18,0.9584,282,0,12.801,1.90908,4.11,52941,40.564739,-105.073020,1528.5,12,0.201488,0.8
0:34:45,1657222560,2022-07-07T19:36:00,2022-07-07T13:36:00,1.991,69.51,35.05,33.45,36.53,849.36,852.79,177.199997,22.00,0.9586,282,0,12.801,1.91129,4.11,52929,40.564710,-105.073042,1529.1,12,0.161396,0.8
0:35:15,1657222590,2022-07-07T19:36:30,2022-07-07T13:36:30,1.991,70.51,35.05,33.38,36.58,849.25,852.91,176.949997,22.76,0.9586,282,0,12.801,1.90650,4.11,52917,40.564708,-105.073027,1528.7,12,0.294008,0.8
0:35:45,1657222620,2022-07-07T19:37:00,2022-07-07T13:37:00,1.991,71.50,35.03,33.40,36.55,849.33,852.91,176.500000,23.34,0.9585,282,0,12.799,1.90797,4.11,52905,40.564698,-105.073011,1530.6,12,0.190694,0.8
0:36:15,1657222650,2022-07-07T19:37:30,2022-07-07T13:37:30,1.992,72.50,35.03,33.38,36.52,849.42,852.94,176.000000,22.77,0.9587,282,0,12.801,1.90834,4.11,52893,40.564710,-105.072983,1531.6,12,0.266252,0.8
0:36:45,1657222680,2022-07-07T19:38:00,2022-07-07T13:38:00,1.991,73.49,35.00,33.37,36.50,849.34,852.94,178.149994,22.67,0.9588,282,0,12.801,1.91203,4.11,52881,40.564701,-105.072969,1530.5,12,0.159340,0.9
0:37:15,1657222710,2022-07-07T19:38:30,2022-07-07T13:38:30,1.991,74.49,35.00,33.36,36.51,849.45,852.94,178.100006,23.08,0.9587,282,0,12.798,1.90871,4.11,52868,40.564750,-105.073027,1522.2,12,0.190694,0.8
0:37:45,1657222740,2022-07-07T19:39:00,2022-07-07T13:39:00,1.991,75.48,34.99,33.32,36.49,849.39,852.98,176.149994,23.59,0.9587,282,0,12.801,1.91055,4.11,52856,40.564716,-105.073012,1525.9,12,0.104342,0.8
0:38:15,1657222770,2022-07-07T19:39:30,2022-07-07T13:39:30,1.991,76.48,34.97,33.31,36.47,849.37,852.91,178.750000,23.32,0.9587,282,0,12.799,1.90466,4.10,52844,40.564716,-105.073013,1526.0,12,0.055512,0.8
0:38:45,1657222800,2022-07-07T19:40:00,2022-07-07T13:40:00,1.991,77.48,34.95,33.30,36.49,849.29,852.85,176.300003,23.67,0.9586,282,0,12.799,1.91277,4.10,52832,40.564736,-105.073049,1519.8,12,0.259056,0.8
0:39:15,1657222830,2022-07-07T19:40:30,2022-07-07T13:40:30,1.991,78.47,34.95,33.27,36.50,849.37,853.02,175.850006,23.97,0.9588,282,0,12.798,1.91055,4.10,52820,40.564715,-105.073093,1522.3,12,0.029298,0.8
0:39:45,1657222860,2022-07-07T19:41:00,2022-07-07T13:41:00,1.991,79.47,34.93,33.25,36.44,849.32,852.93,174.600006,23.87,0.9588,282,0,12.799,1.90944,4.10,52807,40.564723,-105.073066,1521.4,12,0.039578,0.8
0:40:15,1657222890,2022-07-07T19:41:30,2022-07-07T13:41:30,1.990,80.46,34.91,33.24,36.42,849.38,852.93,174.300003,23.83,0.9588,282,0,12.798,1.90760,4.10,52795,40.564753,-105.073095,1515.9,12,0.032382,0.8
0:40:45,1657222920,2022-07-07T19:42:00,2022-07-07T13:42:00,1.990,81.46,34.90,33.22,36.41,849.25,852.91,176.250000,23.93,0.9588,282,0,12.798,1.90797,4.10,52783,40.564760,-105.073074,1517.1,12,0.045232,0.8
0:41:15,1657222950,2022-07-07T19:42:30,2022-07-07T13:42:30,1.990,82.45,34.90,33.23,36.39,849.33,853.02,175.850006,23.38,0.9591,282,0,12.797,1.90834,4.10,52771,40.564756,-105.073073,1519.0,12,0.052942,0.8
0:41:45,1657222980,2022-07-07T19:43:00,2022-07-07T13:43:00,1.988,83.45,34.88,33.21,36.40,849.22,853.03,175.250000,23.19,0.9592,282,0,12.797,1.90981,4.10,52759,40.564758,-105.073092,1515.7,12,0.032382,0.8
0:42:15,1657223010,2022-07-07T19:43:30,2022-07-07T13:43:30,1.988,84.44,34.87,33.19,36.35,849.33,853.03,176.850006,23.32,0.9592,281,0,12.798,1.90613,4.10,52746,40.564749,-105.073069,1519.8,12,0.017990,0.8
0:42:45,1657223040,2022-07-07T19:44:00,2022-07-07T13:44:00,1.995,85.44,34.87,33.14,36.37,849.39,852.98,175.199997,23.35,0.9591,281,0,12.827,1.91277,4.10,52734,40.564734,-105.073055,1516.9,12,0.053456,0.8
0:43:15,1657223070,2022-07-07T19:44:30,2022-07-07T13:44:30,1.994,86.43,34.85,33.17,36.35,849.26,852.88,176.000000,23.16,0.9591,281,0,12.827,1.90797,4.10,52722,40.564735,-105.073040,1521.6,12,0.052942,0.9
0:43:45,1657223100,2022-07-07T19:45:00,2022-07-07T13:45:00,1.995,87.43,34.83,33.14,36.33,849.28,852.88,177.949997,23.20,0.9592,281,0,12.827,1.90944,4.10,52710,40.564726,-105.073065,1521.4,12,0.069390,0.8
